"name";"link_url";"image_url";"alt_text";"comment"
"bitcoin";"bitcoin:12Ebzb1gGbJ6KsmYQi6aTokuCdQ1DRZiXa";"/shared/images/bitcoin_qr_ebooks.png";"Bitcoin";""
"liberapay";"https://liberapay.com/Izzys-eBook-Library";"tpl/icons/liberapay-badge.png";"Liberapay";""
